,City,Population,Murder,Robbery,Population_sq
0,Adams Village,1861,0,0,3463321
1,Addison Town and Village,2577,0,0,6640929
2,Akron Village,2846,0,0,8099716
3,Albany,97956,1,1,9595377936
4,Albion Village,6388,0,1,40806544
5,Alfred Village,4089,0,1,16719921
6,Allegany Village,1781,0,0,3171961
7,Amherst Town,118296,1,1,13993943616
8,Amityville Village,9519,0,1,90611361
9,Amsterdam,18182,0,1,330585124
10,Arcade Village,2053,0,0,4214809
11,Ardsley Village,4523,0,1,20457529
12,Asharoken Village,658,0,0,432964
13,Attica Village,2522,0,0,6360484
14,Auburn,27270,1,1,743652900
15,Avon Village,3333,0,1,11108889
16,Baldwinsville Village,7473,0,1,55845729
17,Ballston Spa Village,5418,0,1,29354724
18,Batavia,15374,0,1,236359876
19,Bath Village,5733,0,1,32867289
20,Bedford Town,17627,0,1,310711129
21,Bethlehem Town,34243,0,1,1172583049
22,Binghamton,46304,1,1,2144060416
23,Black River,1410,0,0,1988100
24,Blooming Grove Town,12001,0,0,144024001
25,Bolivar Village,1022,0,0,1044484
26,Bolton Town,2325,0,0,5405625
27,Boonville Village,2054,0,0,4218916
28,Brant Town,2065,0,1,4264225
29,Brewster,2358,0,0,5560164
30,Briarcliff Manor Village,7976,0,0,63616576
31,Brighton Town,36689,1,1,1346082721
32,Brockport Village,8284,1,1,68624656
33,Bronxville Village,6390,0,0,40832100
34,Brownville Village,1174,0,0,1378276
35,Buffalo,258789,1,1,66971746521
36,Cairo Town,6577,0,0,43256929
37,Cambridge Village,1854,0,0,3437316
38,Camden Village,2219,0,0,4923961
39,Camillus Town and Village,24165,0,0,583947225
40,Canandaigua,10470,0,1,109620900
41,Canastota Village,4704,0,0,22127616
42,Canisteo Village,2246,0,1,5044516
43,Canton Village,6794,0,1,46158436
44,Cape Vincent Village,762,0,0,580644
45,Carmel Town,34462,0,0,1187629444
46,Carroll Town,3481,0,0,12117361
47,Carthage Village,3862,0,0,14915044
48,Cattaraugus Village,980,0,0,960400
49,Cayuga Heights Village,3749,0,1,14055001
50,Cazenovia Village,2732,0,0,7463824
51,Central Square Village,1835,0,1,3367225
52,Chatham Village,1733,0,0,3003289
53,Cheektowaga Town,78361,0,1,6140446321
54,Chester Town,7990,0,0,63840100
55,Chittenango Village,5016,0,0,25160256
56,Cicero Town,29571,0,1,874444041
57,Clarkstown Town,80705,0,1,6513297025
58,Clyde Village,2049,0,1,4198401
59,Cobleskill Village,4503,0,1,20277009
60,Coeymans Town,7458,0,0,55621764
61,Cohoes,16179,0,1,261760041
62,Colonie Town,78215,0,1,6117586225
63,Cooperstown Village,1827,0,0,3337929
64,Corning,11087,0,1,122921569
65,Cornwall-on-Hudson Village,2978,0,0,8868484
66,Cornwall Town,9543,0,0,91068849
67,Cortland,19331,0,1,373687561
68,Crawford Town,9264,0,1,85821696
69,Croton-on-Hudson Village,8180,0,1,66912400
70,Cuba Town,3209,0,0,10297681
71,Dansville Village,4605,0,1,21206025
72,Deerpark Town,7827,0,1,61261929
73,Delhi Village,2985,0,0,8910225
74,Depew Village,15189,0,1,230705721
75,Deposit Village,1628,0,0,2650384
76,Dewitt Town,22681,0,1,514427761
77,Dexter Village,1122,0,0,1258884
78,Dobbs Ferry Village,11021,0,0,121462441
79,Dolgeville Village,2191,0,0,4800481
80,Dryden Village,1913,0,1,3659569
81,Dunkirk,12329,0,1,152004241
82,East Aurora-Aurora Town,13774,0,1,189723076
83,Eastchester Town,19800,0,0,392040000
84,East Fishkill Town,29315,1,1,859369225
85,East Greenbush Town,16470,0,1,271260900
86,East Hampton Town,19674,0,1,387066276
87,East Hampton Village,1104,0,0,1218816
88,East Rochester Village,6596,1,1,43507216
89,East Syracuse Village,3036,0,1,9217296
90,Eden Town,7684,0,0,59043856
91,Ellenville Village,4124,0,1,17007376
92,Ellicott Town,5144,0,1,26460736
93,Elmira,28921,0,1,836424241
94,Elmira Heights Village,4079,0,1,16638241
95,Elmira Town,5948,0,0,35378704
96,Endicott Village,13122,0,1,172186884
97,Evans Town,16292,0,1,265429264
98,Fairport Village,5335,0,0,28462225
99,Fallsburg Town,12109,1,0,146627881
100,Fishkill Town,20435,0,1,417589225
101,Floral Park Village,15926,0,1,253637476
102,Florida Village,2842,0,0,8076964
103,Fort Plain Village,2265,0,1,5130225
104,Frankfort Town,5033,0,0,25331089
105,Frankfort Village,2579,0,0,6651241
106,Franklinville Village,1702,0,1,2896804
107,Fredonia Village,10988,0,1,120736144
108,Freeport Village,43214,0,1,1867449796
109,Friendship Town,1960,0,0,3841600
110,Fulton City,11739,0,1,137804121
111,Garden City Village,22596,0,1,510579216
112,Gates Town,28468,0,1,810427024
113,Geddes Town,10442,0,1,109035364
114,Geneseo Village,7891,0,1,62267881
115,Geneva,13194,1,1,174081636
116,Germantown Town,1926,0,0,3709476
117,Glen Cove,27134,0,1,736253956
118,Glen Park Village,526,0,0,276676
119,Glens Falls,14582,0,1,212634724
120,Glenville Town,21839,0,1,476941921
121,Gloversville,15315,0,1,234549225
122,Goshen Village,5400,0,1,29160000
123,Gowanda Village,2663,0,0,7091569
124,Granville Village,2498,0,0,6240004
125,Great Neck Estates Village,2794,0,0,7806436
126,Greece Town,96667,0,1,9344508889
127,Greenburgh Town,44787,1,1,2005875369
128,Greene Village,1553,0,0,2411809
129,Green Island Village,2621,0,1,6869641
130,Greenport Town,4065,0,1,16524225
131,Greenwood Lake Village,3118,0,0,9721924
132,Groton Village,2381,0,0,5669161
133,Guilderland Town,33805,0,1,1142778025
134,Hamburg Town,45535,1,1,2073436225
135,Hamburg Village,9517,0,0,90573289
136,Hammondsport Village,656,0,0,430336
137,Harrison Town,27876,0,1,777071376
138,Hastings-on-Hudson Village,7937,0,1,62995969
